n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,dimension,seed,max_epochs,n_cells,n_genes,runtime_seconds,max_rss_mb,metric_sample_size,metric_sample_size_requested,method_raw,method_id,parent_method,control_layer,source,standardized,explained_variance_ratio_sum,analysis_inclusion,method_class,max_iter,min_iter,iter_max,iter_min,pseudocount,zero_inflation,sparsity,training_steps,layers,workflow,pca_components,hvg_requested,hvg_actual,n_genes_total,n_genes_input,model_input,family
7,0.0334630061289514,0.0570293035414113,0.0571633396648562,0.0568958945211151,-0.11126509308815,0.5189370427219238,scVI reference analysis,celltype_7,scVI,Python modern,2,0,20.0,2000,3000.0,11.360024213790894,790.4296875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.0689294553893571,0.1039966638565546,0.1039556883866626,0.1040376716411993,-0.1163878738880157,0.5193991472669908,scVI reference analysis,celltype_7,scVI,Python modern,2,1,20.0,2000,3000.0,11.4533953666687,790.82421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.0429763347600244,0.069578204117082,0.069548748231337,0.0696076849642206,-0.1142452880740165,0.5218809414172423,scVI reference analysis,celltype_7,scVI,Python modern,2,2,20.0,2000,3000.0,11.278473377227783,791.00390625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.2149856284256607,0.2539251405816602,0.2531503257998799,0.2547047128610571,0.0209825932979583,0.5708297518546943,scVI reference analysis,celltype_7,scVI,Python modern,5,0,20.0,2000,3000.0,11.234334468841553,790.80859375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.2115074639433309,0.2595205392328369,0.2595688235322924,0.2594722728934733,0.0243339352309703,0.5723729257269549,scVI reference analysis,celltype_7,scVI,Python modern,5,1,20.0,2000,3000.0,11.153053998947144,802.46875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.1530257177099902,0.202527816790437,0.202524428001997,0.2025312056922864,-0.0115353809669613,0.5582329325488189,scVI reference analysis,celltype_7,scVI,Python modern,5,2,20.0,2000,3000.0,10.941205263137816,796.67578125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.562998167693665,0.5668762007218449,0.5674171025549991,0.5663363291577981,0.1263503134250641,0.6285024047070862,scVI reference analysis,celltype_7,scVI,Python modern,10,0,20.0,2000,3000.0,11.266916036605837,790.4375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.4288463512986132,0.446347019201574,0.4465846320655145,0.4461096590550116,0.1032657772302627,0.6146610897927859,scVI reference analysis,celltype_7,scVI,Python modern,10,1,20.0,2000,3000.0,10.894822359085085,792.44140625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.6286510028383195,0.6160458838942707,0.6159946850978949,0.616097091202196,0.1523146331310272,0.6325766436428755,scVI reference analysis,celltype_7,scVI,Python modern,10,2,20.0,2000,3000.0,11.010151863098145,795.07421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.6869114171702442,0.6879176998680112,0.6891658901454949,0.6866740227631668,0.1410319209098816,0.6372616867058924,scVI reference analysis,celltype_7,scVI,Python modern,20,0,20.0,2000,3000.0,11.068583726882936,798.21875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.5958831596981773,0.6005029839641836,0.6013853728047395,0.5996231807179946,0.130693644285202,0.659814308859896,scVI reference analysis,celltype_7,scVI,Python modern,20,1,20.0,2000,3000.0,10.757355451583862,794.31640625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.7677735516070493,0.7420316811381692,0.7426494090265697,0.7414149800346892,0.1780174225568771,0.6539266479065404,scVI reference analysis,celltype_7,scVI,Python modern,20,2,20.0,2000,3000.0,11.277416944503784,798.6015625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.90217987148124,0.876209254681627,0.8765244187853531,0.8758943171379564,0.1772754788398742,0.671296154174128,scVI reference analysis,celltype_7,scVI,Python modern,50,0,20.0,2000,3000.0,11.377150535583496,796.1953125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.874398264796352,0.8480213614342967,0.8486913496586139,0.8473524302023355,0.1847773194313049,0.6907433103095421,scVI reference analysis,celltype_7,scVI,Python modern,50,1,20.0,2000,3000.0,11.111038208007812,809.28125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
7,0.7923321961734976,0.7834984562793591,0.7834632037080819,0.7835337120232161,0.1663276553153991,0.6753636053551633,scVI reference analysis,celltype_7,scVI,Python modern,50,2,20.0,2000,3000.0,11.449679374694824,811.1015625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0124910516838532,0.0373458374763853,0.0374702956508993,0.0372222033443573,-0.1490885019302368,0.5125627440948239,scVI reference analysis,celltype_11,scVI,Python modern,2,0,20.0,2000,3000.0,11.263659238815308,803.95703125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0203483155583047,0.0474245975986067,0.0471562911371207,0.0476959747127459,-0.1657743155956268,0.5124814018930672,scVI reference analysis,celltype_11,scVI,Python modern,2,1,20.0,2000,3000.0,11.131956815719604,795.34765625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0115014531820673,0.0344730400669832,0.0344340869731718,0.0345120813909217,-0.1324062794446945,0.5083912935959751,scVI reference analysis,celltype_11,scVI,Python modern,2,2,20.0,2000,3000.0,10.936314344406128,798.171875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.049696877318729,0.0975893395025458,0.0978031651556262,0.0973764467777166,-0.0694577395915985,0.535919357039311,scVI reference analysis,celltype_11,scVI,Python modern,5,0,20.0,2000,3000.0,10.955814123153688,796.6484375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0418741394042072,0.0839197969860977,0.084283231968046,0.0835594828591307,-0.0646441876888275,0.5394734714760808,scVI reference analysis,celltype_11,scVI,Python modern,5,1,20.0,2000,3000.0,11.376818895339966,804.0390625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0322231085848163,0.0805761646863182,0.0804625686042852,0.0806900819689701,-0.0805224180221557,0.5317769932634092,scVI reference analysis,celltype_11,scVI,Python modern,5,2,20.0,2000,3000.0,11.254981517791748,796.8046875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0492642760277788,0.0984902670847195,0.0990020321036942,0.0979837657265078,-0.0268451664596796,0.5532715954634604,scVI reference analysis,celltype_11,scVI,Python modern,10,0,20.0,2000,3000.0,11.134673357009888,791.3203125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0481702156194061,0.1023690248672555,0.1025992013175384,0.1021398788851018,-0.0303043089807033,0.5557031551121343,scVI reference analysis,celltype_11,scVI,Python modern,10,1,20.0,2000,3000.0,11.33718991279602,797.03125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0915212318792831,0.1583323280005368,0.1590903270690682,0.1575815177791052,-0.0206440184265375,0.5614647650720559,scVI reference analysis,celltype_11,scVI,Python modern,10,2,20.0,2000,3000.0,11.462984800338743,791.0625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0970801915737472,0.1581786232577665,0.1590147084192091,0.1573512842324116,0.004696060437709,0.5827791677325829,scVI reference analysis,celltype_11,scVI,Python modern,20,0,20.0,2000,3000.0,13.83955430984497,792.46484375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.0621261678402671,0.1157288119762695,0.1161498562085569,0.1153108092962885,-0.0083626480773091,0.5795315937579943,scVI reference analysis,celltype_11,scVI,Python modern,20,1,20.0,2000,3000.0,17.32054090499878,798.5234375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.1204275975463078,0.1907065495490719,0.1910177963349384,0.1903963154119923,0.0076328772120177,0.5718145390978084,scVI reference analysis,celltype_11,scVI,Python modern,20,2,20.0,2000,3000.0,18.75624632835388,797.8359375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.277791296335173,0.3622083567479664,0.3634601110370634,0.3609651949339121,0.0308148376643657,0.6049935448111197,scVI reference analysis,celltype_11,scVI,Python modern,50,0,20.0,2000,3000.0,18.33203077316284,801.08984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.3306575217387711,0.3829595742410323,0.3850720050688994,0.3808701937405481,0.0323245152831077,0.6235673488530741,scVI reference analysis,celltype_11,scVI,Python modern,50,1,20.0,2000,3000.0,16.907621145248413,797.9140625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
11,0.2735842002082869,0.344263340339163,0.3452580343191717,0.3432743613530475,0.025169514119625,0.6050423552485716,scVI reference analysis,celltype_11,scVI,Python modern,50,2,20.0,2000,3000.0,11.475603580474854,794.36328125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0073727970598826,0.0393512498490554,0.0395999682029011,0.0391056362810826,-0.1569538414478302,0.5098728489809841,scVI reference analysis,celltype_15,scVI,Python modern,2,0,20.0,2000,3000.0,11.037426710128784,795.2265625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0187847068326935,0.0523389322475144,0.0524020683864827,0.0522759480634304,-0.16951285302639,0.5157355589664876,scVI reference analysis,celltype_15,scVI,Python modern,2,1,20.0,2000,3000.0,11.201677799224854,797.17578125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0047839633761179,0.0298457394703898,0.0294382136706026,0.0302647067681003,-0.1396980285644531,0.513141016457747,scVI reference analysis,celltype_15,scVI,Python modern,2,2,20.0,2000,3000.0,11.324715375900269,802.875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
